cas_number,alias_name,normalized_alias,source_type,source_ref
102-82-9,トリブチルアミン,トリブチルアミン,law_mapping_exact_name,340CO0000000002:Article 1
102-82-9,トリブチルアミン,トリブチルアミン,law_mapping_exact_name,412CO0000000138:別表第一
102-82-9,トリブチルアミン,トリブチルアミン,regulatory_export_name_ja,ra-law-db/exports/regulatory_substances.csv
1024-57-3,"1,4,5,6,7,8,8-Heptachloro-2,3-epoxy-3a,4,7,7a-tetrahydro-4,7-methano-1H-indene; heptachlor epoxide","1,4,5,6,7,8,8heptachloro2,3epoxy3a,4,7,7atetrahydro4,7methano1hindene;heptachlorepoxide",regulatory_export_name_en,ra-law-db/exports/regulatory_substances.csv
1024-57-3,１，４，５，６，７，８，８－ヘプタクロロ－２，３－エポキシ－３ａ，４，７，７ａ－テトラヒドロ－４，７－メタノ－１Ｈ－インデン　 (別名：ヘプタクロルエポキシド),"1,4,5,6,7,8,8ヘプタクロロ2,3エポキシ3a,4,7,7aテトラヒドロ4,7メタノ1hインデン",regulatory_export_name_ja,ra-law-db/exports/regulatory_substances.csv
1024-57-3,ヘプタクロルエポキシド,ヘプタクロルエポキシド,law_entry_raw_name,412CO0000000138:別表第一
1024-57-3,ヘプタクロルエポキシド,ヘプタクロルエポキシド,law_mapping_alias,412CO0000000138:別表第一
1024-57-3,一・四・五・六・七・八・八―ヘプタクロロ―二・三―エポキシ―二・三・三ａ・四・七・七ａ―ヘキサヒドロ―四・七―メタノ―一Ｈ―インデン,一・四・五・六・七・八・八ヘプタクロロ二・三エポキシ二・三・三a・四・七・七aヘキサヒドロ四・七メタノ一hインデン,law_entry_raw_name,412CO0000000138:別表第一
102851-06-9,"Alpha-cyano-3-phenoxybenzyl N-(2-chloro-alpha,alpha,alpha-trifluoro-p-tolyl)-D-valinate; Fluvalinate",alphacyano3phenoxybenzylndvalinate;fluvalinate,regulatory_export_name_en,ra-law-db/exports/regulatory_substances.csv
102851-06-9,"α-シアノ-3-フェノキシベンジル=N-（2-クロロ-α,α,α-トリフルオロ-p-トリル）-D-バリナート (別名：フルバリネート）",αシアノ3フェノキシベンジル=ndバリナト,regulatory_export_name_ja,ra-law-db/exports/regulatory_substances.csv
102851-06-9,（ＲＳ）―アルファ―シアノ―三―フェノキシベンジル＝Ｎ―（二―クロロ―アルファ・アルファ・アルファ―トリフルオロ―パラ―トリル）―Ｄ―バリナート,アルファシアノ三フェノキシベンジル=ndバリナト,law_entry_raw_name,412CO0000000138:別表第二
102851-06-9,フルバリネート,フルバリネト,law_entry_raw_name,412CO0000000138:別表第二
102851-06-9,フルバリネート,フルバリネト,law_mapping_alias,412CO0000000138:別表第二
10294-56-1,ホスホン酸,ホスホン酸,law_entry_raw_name,340CO0000000002:Article 2
10294-56-1,ホスホン酸,ホスホン酸,law_mapping_exact_name,340CO0000000002:Article 2
103-50-4,Dibenzyl ether,dibenzylether,regulatory_export_name_en,ra-law-db/exports/regulatory_substances.csv
103-50-4,ジベンジルエーテル,ジベンジルエテル,law_entry_raw_name,412CO0000000138:別表第一
103-50-4,ジベンジルエーテル,ジベンジルエテル,law_mapping_exact_name,412CO0000000138:別表第一
103-50-4,ジベンジルエーテル,ジベンジルエテル,regulatory_export_name_ja,ra-law-db/exports/regulatory_substances.csv
103-63-9,(2-Bromoethyl)benzene,benzene,regulatory_export_name_en,ra-law-db/exports/regulatory_substances.csv
103-63-9,（クロロメチル）ベンゼン,ベンゼン,law_entry_raw_name,340CO0000000002:Article 1
103-63-9,ベンゼン,ベンゼン,law_entry_raw_name,412CO0000000138:別表第一
103-63-9,（クロロメチル）ベンゼン,ベンゼン,law_mapping_exact_name,340CO0000000002:Article 1
103-63-9,ベンゼン,ベンゼン,law_mapping_exact_name,412CO0000000138:別表第一
103-63-9,（2-ブロモエチル）ベンゼン,ベンゼン,regulatory_export_name_ja,ra-law-db/exports/regulatory_substances.csv
103055-07-8,"（RS）‐1‐［2,5‐ジクロロ‐4‐（1,1,2,3,3,3‐ヘキサフルオロプロポキシ）フェニル］‐3‐（2,6‐ジフルオロベンゾイル）ウレア","1[2,5ジクロロ4フェニル]3ウレア",regulatory_export_name_ja,ra-law-db/exports/regulatory_substances.csv
103055-07-8,"N-[2,5-dichloro-4-(1,1,2,3,3,3-hexafluoropropoxy)-phenyl-aminocarbonyl]-2,6-difluorobenzamide","n[2,5dichloro4phenylaminocarbonyl]2,6difluorobenzamide",regulatory_export_name_en,ra-law-db/exports/regulatory_substances.csv
103055-07-8,ルフェヌロン,ルフェヌロン,law_entry_raw_name,412CO0000000138:別表第二
103055-07-8,ルフェヌロン,ルフェヌロン,law_mapping_alias,412CO0000000138:別表第二
103055-07-8,ルフェヌロン,ルフェヌロン,regulatory_export_name_ja,ra-law-db/exports/regulatory_substances.csv
103055-07-8,（ＲＳ）―一―［二・五―ジクロロ―四―（一・一・二・三・三・三―ヘキサフルオロプロポキシ）フェニル］―三―（二・六―ジフルオロベンゾイル）尿素,一[二・五ジクロロ四フェニル]三尿素,law_entry_raw_name,412CO0000000138:別表第二
10311-84-9,ジエチル―Ｓ―（エチルチオエチル）―ジチオホスフエイト,ジエチルsジチオホスフエイト,law_entry_raw_name,340CO0000000002:Article 1
10311-84-9,ジエチル―Ｓ―（二―オキソ―六―クロルベンゾオキサゾロメチル）―ジチオホスフエイト,ジエチルsジチオホスフエイト,law_entry_raw_name,340CO0000000002:Article 2
10311-84-9,ジエチル―Ｓ―（エチルチオエチル）―ジチオホスフエイト,ジエチルsジチオホスフエイト,law_mapping_exact_name,340CO0000000002:Article 1
10311-84-9,ジエチル―Ｓ―（二―オキソ―六―クロルベンゾオキサゾロメチル）―ジチオホスフエイト,ジエチルsジチオホスフエイト,law_mapping_exact_name,340CO0000000002:Article 2
10325-94-7,Bisnitric acid cadmium salt,bisnitricacidcadmiumsalt,regulatory_export_name_en,ra-law-db/exports/regulatory_substances.csv
10325-94-7,Bisnitric acid cadmium salt,bisnitricacidcadmiumsalt,ryukyu_english_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
10325-94-7,Cadmium nitrate,cadmiumnitrate,regulatory_export_name_en,ra-law-db/exports/regulatory_substances.csv
10325-94-7,Cadmium nitrate,cadmiumnitrate,ryukyu_english_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
10325-94-7,Dinitric acid cadmium salt,dinitricacidcadmiumsalt,regulatory_export_name_en,ra-law-db/exports/regulatory_substances.csv
10325-94-7,Dinitric acid cadmium salt,dinitricacidcadmiumsalt,ryukyu_english_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
10325-94-7,カドミウム及びその化合物,カドミウム及びその化合物,regulatory_export_name_ja,ra-law-db/exports/regulatory_substances.csv
10325-94-7,カドミウム及びその化合物,カドミウム及びその化合物,ryukyu_name,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
