law_code,source_id,group_legal_name,category_code,special_management,special_organic,match_kind,match_pattern,status,reviewed_by,source_url,note
poison_control,RJ_03_001,水銀化合物及びこれを含有する製剤,poison,,,name_regex,(?i)^(?!.*(?:塩化水銀\(I\)|塩化第一水銀|アミノ塩化|オレイン酸水銀|チメロサール|エタニド.*メルクラート|二塩化二水銀|メルブロミン))(?=.*(?:水銀|メルクラート|メルクリ|mercur)),reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/340CO0000000002,指定令第1条第17号。塩化第一水銀等（劇物）を除く
poison_control,RJ_03_001,ジニトロクレゾール,poison,,,name_regex,ジニトロ(-(o|m|p)-|オルト|メタ|パラ)?クレゾール$,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/325AC0000000303,法律別表第1の10（製剤は指定令第1条第1項第11号）
poison_control,RJ_03_001,ジニトロクレゾール塩類及びこれを含有する製剤,poison,,,name_regex,^(?=.*ジニトロ)(?=.*(メチル.*(フェノラート|フェノキシド)|クレゾラート|クレゾール.*(塩|ナトリウム|カリウム|アンモニウム))),reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/340CO0000000002,指定令第1条第1項第12号（塩類のみ; ビナパクリル等のエステルは除く）
poison_control,RJ_03_001,ニコチン塩類及びこれを含有する製剤,poison,,,name_regex,ニコチン(?!酸|アミド)|メチルピロリジン-2-イル[\]\)]ピリジン,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/340CO0000000002,指定令第1条第21号（法律別表第1の19）
poison_control,RJ_03_001,ストリキニーネ、その塩類及びこれらのいずれかを含有する製剤,poison,,,name_regex,ストリキニーネ|ストリクニン|ストリキニジン,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/340CO0000000002,指定令第1条第17号の2
poison_control,RJ_03_001,１，１’－ジメチル－４，４’－ジピリジニウムヒドロキシド、その塩類及びこれらのいずれかを含有する製剤,poison,,,name_regex,"1,1'-ジメチル.?\[?4,4'-ビピリジン|ジメチル-4,4'-ビピリジン-1,1'-ジイウム|ジメチル\[4,4'-ビピリジン\]-1,1'-ジイウム|ジメチル-4,4'-ジピリジニウム|パラコート|paraquat",reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/340CO0000000002,指定令第1条第15号の2
poison_control,RJ_03_001,１－（４－フルオロフェニル）プロパン－２－アミン、その塩類及びこれらのいずれかを含有する製剤,poison,,,name_regex,フルオロフェニル\)プロパン-2-アミン,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/340CO0000000002,指定令第1条第24号の4
poison_control,RJ_03_001,５－イソシアナト－１－（イソシアナトメチル）－１，３，３－トリメチルシクロヘキサン及びこれを含有する製剤,poison,,,name_regex,イソシアナトメチル.*トリメチルシクロヘキ|イソホロンジイソシアナート|IPDI,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/340CO0000000002,指定令第1条第1号の8
poison_control,RJ_03_001,エチルパラニトロフェニルチオノベンゼンホスホネイト（別名ＥＰＮ）,poison,,,name_regex,^O-エチル=O-\(4-ニトロフェニル\)=(\([RS]\)-)?フェニルホスホノチオアート$|エチルパラニトロフェニルチオノベンゼンホスホネイト|(?<![A-Z])EPN(?![A-Z]),reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/325AC0000000303,"法律別表第1の1（パラチオン=O,O-ジエチル体は特定毒物の別行）"
poison_control,RJ_03_001,三―（ジメトキシホスフイニルオキシ）―Ｎ―メチル―シス―クロトナミド及びこれを含有する製剤,deleterious,,,name_regex,リン酸ジメチル=\(E\)-1-メチル-2-\(N-メチルカルバモイル\)ビニル|ジメトキシホスフィニルオキシ\)-N-メチル.*クロトナミド|モノクロトホス,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/340CO0000000002,指定令第2条第1項第59号の2（別名モノクロトホス）。現行指定令では劇物（第1条に該当項なし）
poison_control,RJ_03_001,弗化水素,poison,,,name_regex,^フッ化水素(酸)?$,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/325AC0000000303,法律別表第1の22（弗化水素アンモニウム=一水素二弗化アンモニウムは第2条第10号の2 劇物）
poison_control,RJ_03_001,重クロム酸塩類及びこれを含有する製剤,deleterious,,,name_regex,(?i)二クロム酸|重クロム酸|ジクロマート|dichromate,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/340CO0000000002,指定令第2条第1項第60号
